,MAE,RMSE,MAPE,Pearson
TSCAN_UBFC_PURE_PEAK_03,36.02000045776367,40.28400039672852,50.487,0.048
TSCAN_UBFC_PURE_PEAK_05,,,,
TSCAN_UBFC_PURE_PEAK_10,25.61800003051757,31.599000930786133,37.873,-0.041
TSCAN_UBFC_PURE_PEAK_20,24.795000076293945,28.67200088500977,37.203,0.171
TSCAN_UBFC_PURE_PEAK_30,18.652000427246094,23.597999572753903,25.904,0.128
TSCAN_UBFC_UBFC_FFT_03,3.900000095367432,11.232999801635742,3.91,0.828
TSCAN_UBFC_UBFC_FFT_05,3.680999994277954,12.107999801635742,3.688,0.798
TSCAN_UBFC_UBFC_FFT_10,2.852999925613404,10.609000205993652,2.932,0.845
TSCAN_UBFC_UBFC_FFT_20,3.026000022888184,8.826000213623047,2.952,0.88
TSCAN_UBFC_UBFC_FFT_30,3.6679999828338623,11.390000343322754,3.408,0.816
TSCAN_UBFC_UBFC_PEAK_03,67.80899810791016,71.4729995727539,63.164,0.191
TSCAN_UBFC_UBFC_PEAK_05,7.918000221252441,13.31999969482422,8.698,0.705
TSCAN_UBFC_UBFC_PEAK_10,6.730999946594238,10.604000091552734,7.461,0.782
TSCAN_UBFC_UBFC_PEAK_20,5.300000190734863,7.881999969482422,5.81,0.873
TSCAN_UBFC_UBFC_PEAK_30,5.125,7.039999961853027,5.595,0.898
